,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Greece","Data source","Spirits","1.40"
"Greece","Data source","Other alcoholic beverages","0.09"
"Grenada","Data source","All types","9.14"
"Grenada","Data source","Beer","3.78"
"Grenada","Data source","Wine","0.69"
"Grenada","Data source","Spirits","4.34"
"Grenada","Data source","Other alcoholic beverages","0.33"
"Guatemala","Data source","All types","1.62"
"Guatemala","Data source","Beer","0.90"
"Guatemala","Data source","Wine","0.03"
"Guatemala","Data source","Spirits","0.68"
"Guatemala","Data source","Other alcoholic beverages","0.01"
"Guinea","Data source","All types","0.31"
"Guinea","Data source","Beer","0.27"
"Guinea","Data source","Wine","0.03"
"Guinea","Data source","Spirits","0.01"
"Guinea","Data source","Other alcoholic beverages","0.00"
"Guinea-Bissau","Data source","All types","3.23"
"Guinea-Bissau","Data source","Beer","0.41"
"Guinea-Bissau","Data source","Wine","1.18"
"Guinea-Bissau","Data source","Spirits","0.41"
"Guinea-Bissau","Data source","Other alcoholic beverages","1.23"
"Guyana","Data source","All types","5.42"
"Guyana","Data source","Beer","2.60"
"Guyana","Data source","Wine","0.47"
"Guyana","Data source","Spirits","2.32"
"Guyana","Data source","Other alcoholic beverages","0.02"
"Haiti","Data source","All types","2.74"
"Haiti","Data source","Beer","0.13"
"Haiti","Data source","Wine","0.10"
"Haiti","Data source","Spirits","2.51"
"Haiti","Data source","Other alcoholic beverages","0.01"
"Honduras","Data source","All types","2.73"
"Honduras","Data source","Beer","1.49"
"Honduras","Data source","Wine","0.02"
"Honduras","Data source","Spirits","1.21"
"Honduras","Data source","Other alcoholic beverages","0.00"
"Hungary","Data source","All types","10.79"
"Hungary","Data source","Beer","3.96"
"Hungary","Data source","Wine","3.33"
"Hungary","Data source","Spirits","3.50"
"Hungary","Data source","Other alcoholic beverages","0"
"Iceland","Data source","All types","7.72"
"Iceland","Data source","Beer","4.39"
"Iceland","Data source","Wine","2.11"
"Iceland","Data source","Spirits","1.22"
"Iceland","Data source","Other alcoholic beverages","0"
"India","Data source","All types","3.05"
"India","Data source","Beer","0.22"
"India","Data source","Wine","0.00"
"India","Data source","Spirits","2.83"
"India","Data source","Other alcoholic beverages","0.00"
"Indonesia","Data source","All types","0.08"
"Indonesia","Data source","Beer","0.06"
"Indonesia","Data source","Wine","0.00"
"Indonesia","Data source","Spirits","0.01"
"Indonesia","Data source","Other alcoholic beverages","0.00"
"Iran (Islamic Republic of)","Data source","All types","0.03"
"Iran (Islamic Republic of)","Data source","Beer","0"
"Iran (Islamic Republic of)","Data source","Wine","0"
"Iran (Islamic Republic of)","Data source","Spirits","0.03"
"Iran (Islamic Republic of)","Data source","Other alcoholic beverages","0.00"
"Iraq","Data source","All types","0.17"
"Iraq","Data source","Beer","0.12"
"Iraq","Data source","Wine","0.00"
"Iraq","Data source","Spirits","0.05"
"Iraq","Data source","Other alcoholic beverages","0.00"
"Ireland","Data source","All types","11.20"
"Ireland","Data source","Beer","5.12"
"Ireland","Data source","Wine","2.90"
"Ireland","Data source","Spirits","2.32"
"Ireland","Data source","Other alcoholic beverages","0.85"
"Israel","Data source","All types","2.99"
"Israel","Data source","Beer","1.74"
"Israel","Data source","Wine","0.07"
"Israel","Data source","Spirits","1.13"
"Israel","Data source","Other alcoholic beverages","0.04"
"Italy","Data source","All types","7.81"
"Italy","Data source","Beer","1.94"
"Italy","Data source","Wine","5.08"
"Italy","Data source","Spirits","0.79"
"Italy","Data source","Other alcoholic beverages","0"
"Jamaica","Data source","All types","3.63"
"Jamaica","Data source","Beer","1.24"
"Jamaica","Data source","Wine","0.36"
"Jamaica","Data source","Spirits","1.69"
"Jamaica","Data source","Other alcoholic beverages","0.35"
"Japan","Data source","All types","6.82"
"Japan","Data source","Beer","1.35"
"Japan","Data source","Wine","0.25"
"Japan","Data source","Spirits","2.59"
"Japan","Data source","Other alcoholic beverages","2.64"
"Jordan","Data source","All types","0.28"
"Jordan","Data source","Beer","0.06"
"Jordan","Data source","Wine","0.02"
"Jordan","Data source","Spirits","0.20"
"Jordan","Data source","Other alcoholic beverages","0.00"
"Kazakhstan","Data source","All types","3.66"
"Kazakhstan","Data source","Beer","2.15"
"Kazakhstan","Data source","Wine","0.16"
"Kazakhstan","Data source","Spirits","1.35"
"Kazakhstan","Data source","Other alcoholic beverages","0"
"Kenya","Data source","All types","1.71"
"Kenya","Data source","Beer","0.80"
"Kenya","Data source","Wine","0.03"
"Kenya","Data source","Spirits","0.85"
"Kenya","Data source","Other alcoholic beverages","0.03"
