,Country,GDP (per capita PPP),HDI Rank,HDI,Life Expectancy,Overall rank,Score,GDP per capita,All types,Beer,Spirits,Wine,Other
117,Afghanistan,2190.0,169.0,0.509,64.5,145,3.6319999999999997,0.332,0.01,0.0,0.01,0.0,0.0
118,Burkina Faso,2132.0,182.0,0.443,61.2,121,4.4239999999999995,0.314,7.2,1.0,0.23,0.09,5.88
119,Uganda,2122.0,159.0,0.538,63.0,135,4.1610000000000005,0.322,12.2,0.84,0.61,0.01,10.73
120,Ethiopia,2104.0,173.0,0.478,66.2,127,4.35,0.308,0.95,0.92,0.01,0.02,0.0
121,Rwanda,2089.0,160.0,0.54,68.7,151,3.408,0.332,6.99,1.06,0.04,0.01,5.88
122,Haiti,1767.0,170.0,0.508,63.7,148,3.582,0.315,2.74,0.13,2.51,0.1,0.01
123,Sierra Leone,1663.0,182.0,0.447,54.3,113,4.571000000000001,0.256,3.43,0.15,0.0,0.04,3.25
124,Madagascar,1613.0,164.0,0.527,66.7,143,3.7739999999999996,0.262,0.91,0.5,0.34,0.07,0.0
125,Chad,1576.0,187.0,0.397,54.0,131,4.301,0.358,0.42,0.4,0.01,0.01,0.0
126,Togo,1553.0,167.0,0.51,60.8,139,3.9989999999999997,0.259,1.31,0.73,0.2,0.07,0.32
127,Liberia,1497.0,175.0,0.48,63.7,149,3.495,0.076,3.55,0.37,3.11,0.05,0.02
128,Mozambique,1290.0,181.0,0.452,60.2,123,4.417,0.198,1.24,1.0,0.21,0.03,0.01
129,Niger,1196.0,189.0,0.391,62.0,134,4.166,0.131,0.13,0.04,0.07,0.02,0.0
130,Malawi,1043.0,174.0,0.478,63.8,147,3.5869999999999997,0.18600000000000003,2.0,0.17,0.19,0.02,1.61
131,Central African Republic,933.0,188.0,0.395,52.8,155,3.083,0.024,0.88,0.51,0.03,0.02,0.32
132,Burundi,762.0,185.0,0.431,61.2,156,2.905,0.091,4.0,1.81,0.01,0.0,2.18
